,0,1
0,по сравнение с,40281
1,в настоящее время,36927
2,в тот число,33833
3,в зависимость от,19722
4,в то же,15828
5,то же время,15662
6,и том далее,12711
7,в отличие от,11694
8,быть показать что,11608
9,тем не менее,11048
10,в свой очередь,10203
11,в один очередь,10057
12,являться один из,8860
13,тот или иной,8761
14,следовать отметить что,8635
15,мм рт ст,7758
16,на сегодняшний день,7701
17,с точка зрение,7659
18,что приводить к,7123
19,тот число и,7062
20,с другой сторона,6337
21,в доза мг,6144
22,в сыворотка кровь,5999
23,в большинство случай,5948
24,несмотря на то,5922
25,в российский федерация,5583
26,а также в,5413
27,в клинический практика,5336
28,и том плата,5138
29,свидетельствовать о тот,4957
30,мочь привести к,4831
31,исследование показать что,4791
32,один из основный,4761
33,тот факт что,4688
34,до сей пора,4500
35,в один из,4262
36,мочь быть использовать,3909
37,мочь быть связать,3703
38,для тот чтобы,3696
39,мочь приводить к,3676
40,до настоящий время,3640
41,быть установить что,3614
42,не мочь быть,3597
43,и как следствие,3558
44,в больший степень,3532
45,который мочь быть,3473
46,один из важный,3419
47,фактор риска развитие,3394
48,настоящее время в,3295
49,на наш взгляд,3195
50,в послеоперационный период,3192
51,приводить к снижение,3148
52,в плазма кровь,3141
53,начало х год,3077
54,необходимый отметить что,3050
55,играть важный роль,3050
56,один из наиболее,3041
57,кроме тот в,3039
58,к настоящий время,3035
59,по данные литература,2979
60,по крайний мера,2967
61,а также с,2905
62,в течение мес,2885
63,в значительный степень,2876
64,в настоящий работа,2864
65,тот число в,2820
66,такой образ в,2797
67,в х год,2757
68,на тысяча население,2718
69,на ранний стадия,2690
70,как один из,2688
71,ишемический болезнь сердце,2643
72,один из самый,2600
73,в раз выше,2519
74,можно предположить что,2499
75,не зависеть от,2498
76,один из они,2475
77,в последний десятилетие,2457
78,в результат что,2447
79,мочь быть обусловить,2418
80,что свидетельствовать о,2394
81,колебаться от до,2383
82,по данные и,2373
83,в общий популяция,2309
84,центральный нервный система,2224
85,а также при,2196
86,в контрольный группа,2184
87,речь идти о,2156
88,рак молочный железа,2148
89,вне зависимость от,2143
90,в конечный итог,2138
91,один из один,2132
92,фактор влиять на,2123
93,исследование показать что,2085
94,важный отметить что,2079
95,средний возраст год,2063
96,приводить к увеличение,2063
97,приводить к развитие,2041
98,доза мг сут,2041
99,в полный мера,2016
100,на фон приём,2012
101,по мнение автор,1998
102,варьировать от до,1992
103,а также на,1954
104,показать что в,1889
105,один из причина,1874
106,который приводить к,1869
107,плата дпереть мство,1869
108,и мочь быть,1866
109,и тем самый,1851
110,в оба группа,1850
111,сд го тип,1834
112,избыточный масса тело,1829
113,важный роль в,1826
114,конец х год,1795
115,ишемический болезнь сердце ибс,1791
116,оказывать влияние на,1785
117,по данные разный,1768
118,и приводить к,1763
119,раз выше чем,1754
120,в течение несколько,1748
121,с контрольный группа,1744
122,в течение нед,1741
123,и такой образ,1734
124,качество жизнь пациент,1725
125,в начало х,1714
126,в меньший степень,1712
127,не отличаться от,1694
128,высокий риск развитие,1683
129,показать что при,1679
130,показать что у,1651
131,у больной хобласть,1649
132,в течение мина,1643
133,так по данные,1628
134,тот случай когда,1627
135,не приводить к,1603
136,а также для,1599
137,как видно из,1589
138,показать что в,1586
139,по данные исследование,1581
140,активный форма кислород,1576
141,мг раз в,1560
142,фактор некроз опухоль,1543
143,исследование свидетельствовать о,1542
144,до наш э,1540
145,доза мг килограмм,1538
146,на по сравнение,1536
147,в раз чаща,1525
148,середина х год,1518
149,на данный момент,1511
150,тесно связать с,1505
151,что мочь быть,1504
152,работа показать что,1492
153,это приводить к,1489
154,один из главный,1489
155,быть получить в,1486
156,не выявить ассоциация,1485
157,в случай когда,1473
158,тот число с,1473
159,исследование показывать что,1440
160,хронический болезнь почка,1426
161,хронический сердечный недостаточность,1421
162,тогда как в,1419
163,стоить отметить что,1405
164,индекс масса тело,1396
165,не вызывать сомнение,1393
166,в настоящий момент,1390
167,в периферический кровь,1388
168,на начальный этап,1383
169,в развитый страна,1382
170,обусловить тем что,1378
171,дать свидетельствовать о,1378
172,российский федерация в,1366
173,можно рассматривать как,1351
174,один из ключевой,1349
175,с повышенный риск,1345
176,в дополнение к,1345
177,исследование быть включить,1329
178,по данные ряд,1319
179,на душить население,1314
180,в конец х,1306
181,возраст старший год,1298
182,не менее в,1295
183,в значительный мера,1293
184,показать что у,1293
185,ни один из,1290
186,это мочь быть,1288
187,качество один из,1284
188,на первое этап,1282
189,том е в,1281
190,реальный клинический практика,1278
191,в более поздний,1273
192,в литература иметься,1266
193,хронический обструктивный болезнь,1264
194,не быть выявить,1263
195,выше чем у,1257
196,соавт показать что,1256
197,приводить к повышение,1242
198,у пациент перенести,1240
199,артериальный давление ада,1238
200,в головной мозг,1238
201,быть включить пациент,1234
202,ранний послеоперационный период,1232
203,однако несмотря на,1232
204,оказание медицинский помощь,1229
205,в детский возраст,1211
206,независимый фактор риска,1211
207,острый инфаркт миокард,1209
208,субъект российский федерация,1204
209,в конечный счёт,1201
210,приводить к уменьшение,1196
211,нарушение мозговой кровообращение,1195
212,в научный литература,1194
213,один из который,1193
214,мочь рассматриваться как,1190
215,можно сделать вывод,1187
216,по аналогия с,1177
217,мочь свидетельствовать о,1173
218,быть выявить что,1172
219,ил ил ил ил,1171
220,который представлять себя,1170
221,по данные различный,1165
222,результат быть получить,1162
223,это означать что,1157
224,р р р р,1156
225,что вести к,1155
226,настоящее время не,1150
227,и а также,1150
228,мг килограмм в,1143
229,острый коронарный синдром,1142
230,автор считать что,1141
231,и качество жизнь,1140
232,в подавлять большинство,1136
233,в два половина,1132
234,длина волна нм,1131
235,выявить ассоциация с,1131
