,0,1
0,18817,при_PREP%это_NPRO
1,17057,мочь_VERB%быть_INFN
2,11650,такой_ADJF%образ_NOUN
3,11440,настоящее_NOUN%время_NOUN
4,10168,тот_ADJF%число_NOUN
5,8847,кроме_PREP%тот_ADJF
6,7523,показать_VERB%что_CONJ
7,5497,показать_PRTS%что_CONJ
8,5458,последний_ADJF%год_NOUN
9,5168,быть_VERB%показать_PRTS
10,5072,представлять_VERB%себя_NPRO
11,4746,фактор_NOUN%риска_NOUN
12,4522,как_CONJ%правило_NOUN
13,4364,точка_NOUN%зрение_NOUN
14,4182,известно_PRED%что_CONJ
15,4074,российский_ADJF%федерация_NOUN
16,4009,более_ADVB%высокий_ADJF
17,3840,том_NOUN%далее_ADVB
18,3540,должный_ADJS%быть_INFN
19,3472,быть_VERB%показать_PRTS#что_CONJ
20,3401,прежде_ADVB%всего_ADVB
21,3324,установить_PRTS%что_CONJ
22,3186,тем_CONJ%менее_ADVB
23,3124,следовать_VERB%отметить_INFN
24,3044,свой_ADJF%очередь_NOUN
25,2977,или_CONJ%иной_ADJF
26,2937,быть_VERB%выявить_PRTS
27,2923,один_ADJF%очередь_NOUN
28,2782,вместе_ADVB%тем_CONJ
29,2771,так_CONJ%называть_PRTF
30,2737,более_ADVB%чем_CONJ
31,2727,связь_NOUN%между_PREP
32,2698,связь_NOUN%это_NPRO
33,2628,следовать_VERB%отметить_INFN#что_CONJ
34,2609,риск_NOUN%развитие_NOUN
35,2574,сахарный_ADJF%диабет_NOUN
36,2555,показывать_VERB%что_CONJ
37,2546,головной_ADJF%мозг_NOUN
38,2534,тот_ADJF#или_CONJ%иной_ADJF
39,2480,качество_NOUN%жизнь_NOUN
40,2428,быть_VERB%получить_PRTS
41,2356,повышение_NOUN%уровень_NOUN
42,2343,клинический_ADJF%проявление_NOUN
43,2339,сыворотка_NOUN%кровь_NOUN
44,2304,тогда_ADVB%как_CONJ
45,2240,быть_VERB%провести_PRTS
46,2197,наиболее_ADVB%часто_ADVB
