text,freq
в то же время,24315
в то время как,16928
несмотря на то что,9338
свидетельствуют о том что,3146
то же время в,2547
то время как в,2486
в дозе мг сут,2355
может быть связано с,2253
играет важную роль в,2228
на мм рт ст,2175
тем не менее в,1967
ишемической болезни сердца ибс,1965
следует отметить что в,1946
по данным разных авторов,1832
свидетельствует о том что,1746
до сих пор не,1628
в тех случаях когда,1607
в дозе мг кг,1519
ад мм рт ст,1496
р р р р,1491
в раннем послеоперационном периоде,1420
с одной стороны и,1414
играют важную роль в,1391
пришли к выводу что,1377
в том случае если,1369
в раза выше чем,1323
скф мл мин м,1308
сердечно сосудистых заболеваний ссз,1301
в возрасте старше лет,1293
и соавт показали что,1281
в качестве одного из,1264
ил ил ил ил,1248
в реальной клинической практике,1240
в начале х гг,1229
в режиме реального времени,1183
той или иной степени,1183
автор ответственный за переписку,1155
сад мм рт ст,1154
в течение последних лет,1093
дад мм рт ст,1082
в начале х годов,1073
по данным ряда авторов,1061
одной из основных причин,1060
мм час мг дл,1053
ткань уровень возрастает неблагоприятный,1050
по сравнению со здоровыми,1039
по мнению ряда авторов,1016
в одном из исследований,1004
ме й й перцентили,997
хронической сердечной недостаточности хсн,995
в течение первого года,992
с избыточной массой тела,982
в подавляющем большинстве случаев,975
в работе показано что,974
приводит к тому что,967
свою очередь приводит к,959
обращает на себя внимание,952
в течение длительного времени,947
во многом зависит от,942
в раз выше чем,935
ишемической болезнью сердца ибс,932
государственной службы при президенте,912
можно сделать вывод что,891
по данным различных авторов,879
отрицательное для всей выборки,864
у детей раннего возраста,858
уровень возрастает неблагоприятный прогноз,857
с нашей точки зрения,855
я группа я группа,851
не выявлено ассоциаций с,850
по крайней мере в,844
мм рт ст и,844
в раза по сравнению,840
в зависимости от возраста,839
н д н д,838
а с другой стороны,832
на тыс населения в,831
играет ключевую роль в,830
является независимым фактором риска,828
у больных сахарным диабетом,826
мг дл мм час,825
в зависимости от наличия,819
в отличие от других,812
до мм рт ст,808
до настоящего времени не,808
с высоким риском развития,807
говорит о том что,806
с другой стороны в,802
ишемическая болезнь сердца ибс,798
в исследование были включены,794
раза по сравнению с,783
с сд го типа,775
ранее было показано что,764
необходимо отметить что в,764
и мм рт ст,756
на территории российской федерации,744
в большей степени чем,739
могут быть связаны с,738
данные о том что,733
является тот факт что,718
у лиц старше лет,716
на сегодняшний день в,712
хроническая обструктивная болезнь легких,709
ммоль сут г сут,708
в раза чаще чем,708
у данной категории больных,699
ряде исследований показано что,693
в качестве одной из,693
что может быть связано,689
это может быть связано,688
в зависимости от степени,687
всемирной организации здравоохранения воз,682
до тех пор пока,672
в частном секторе для,672
частном секторе для мужчин,672
у данной категории пациентов,670
имеются данные о том,664
в зависимости от типа,662
в пользу того что,657
с этой точки зрения,657
что приводит к снижению,656
может быть связана с,655
в основном за счет,651
на протяжении многих лет,651
в конце х гг,649
согласно которому обратная величина,648
зависит не только от,647
в конце х годов,643
в исследование было включено,642
на сердечно сосудистую систему,637
метод наименьших квадратов принимается,624
у пациентов старше лет,624
по мнению некоторых авторов,622
является одним из самых,618
с реактивного белка срб,614
до сих пор остается,612
в основе которого лежит,612
д м н профессор,604
с повышенным риском развития,594
в том или ином,593
менее мм рт ст,592
ввп на душу населения,592
можно сделать вывод о,590
фактора некроза опухоли фно,590
в том случае когда,590
что может привести к,589
следует также отметить что,588
авторы пришли к выводу,584
о том что в,580
и др к сожа,580
у больных аг с,580
с острым коронарным синдромом,579
индекс массы тела имт,577
обратная величина гра см,576
мм рт ст в,575
с нормальной массой тела,572
по данным всемирной организации,572
российской академии народного хозяйства,572
магнитно резонансной томографии мрт,569
в течение всего периода,566
в каждом конкретном случае,564
было показано что в,562
и тот факт что,561
могут быть использованы для,552
у этой категории больных,548
вывод о том что,547
во многих странах мира,546
у взрослых пациентов с,545
по данным некоторых авторов,542
с сердечно сосудистыми заболеваниями,538
в зависимости от вида,538
говорят о том что,537
соэ мм ч срб,533
толерантности к физической нагрузке,531
при прочих равных условиях,527
также было показано что,523
неблагоприятный прогноз ткань уровень,521
при президенте российской федерации,519
в г были опубликованы,517
исследовании было показано что,517
то время как при,513
с ишемической болезнью сердца,510
более чем у пациентов,510
со стороны сердечно сосудистой,509
желудочно кишечного тракта жкт,509
федеральных органов исполнительной власти,508
это обусловлено тем что,507
в дозе мг раза,505
у лиц молодого возраста,502
может быть связан с,501
генно инженерных биологических препаратов,495
в середине х гг,492
независимо друг от друга,491
с хронической сердечной недостаточностью,490
оказывает существенное влияние на,490
на протяжении всей жизни,489
у пациентов со стабильной,487
у больных сд типа,483
у детей первого года,482
фракция выброса левого желудочка,482
и интенсивной терапии орит,481
данные болгария наши данные,480
болгария наши данные болгария,480
скорости клубочковой фильтрации скф,480
наши данные болгария наши,480
федеральной службы государственной статистики,479
сердечно сосудистых осложнений ссо,478
в до н э,476
в возрастной группе лет,474
в течение первых лет,473
аналогичные результаты были получены,473
однако следует отметить что,472
ч срб мг л,472
сердечно сосудистые заболевания ссз,470
хс лпнп ммоль л,470
нарушение толерантности к глюкозе,469
в течение нескольких лет,468
в это же время,467
в той или иной,467
риска развития сердечно сосудистых,466
но тем не менее,466
см с медиальный сегмент,465
в литературе имеются данные,464
раза выше чем в,462
той или иной мере,460
соавт было показано что,459
по данным ряда исследований,457
развития налоговой системы ипэи,456
системы ипэи российской академии,456
сердечно сосудистых заболеваний и,456
дозе мг раза в,456
в дпов дно до,455
во второй половине х,455
является фактором риска развития,454
это объясняется тем что,453
по состоянию на г,449
является одним из основных,449
в экономически развитых странах,446
в исследовании было показано,446
в середине х годов,446
приходят к выводу что,446
у лиц пожилого возраста,445
в отделении интенсивной терапии,445
ранее нами было показано,443
позволяет сделать вывод о,442
следует обратить внимание на,442
возможно это связано с,442
по данным других авторов,440
на протяжении последних лет,439
трассе м расстояние между,437
точками подвеса ленты рассчитанное,437
расстояние между точками подвеса,437
м угол естественного откоса,437
на первом году жизни,437
естественного откоса груза град,437
предположение о том что,436
приходит к выводу что,436
тот факт что в,436
сахарным диабетом го типа,435
со стороны желудочно кишечного,435
является одним из важнейших,434
риск развития сердечно сосудистых,434
несмотря на большое количество,433
на современном этапе развития,433
стран доход коэффициент джини,432
сахарный диабет го типа,432
всей выборки отрицательное для,432
всей выборки незначимое когда,432
с ограниченными возможностями здоровья,431
и социально образовательная мысль,430
до сих пор нет,430
во всех возрастных группах,430
у детей до лет,429
к горизонту бортов ленты,428
рассчитанный по зависимости град,428
бортов ленты рассчитанный по,428
в непосредственной близости от,428
могут быть использованы в,427
в течение всей жизни,427
к настоящему времени в,426
белорусский национальный технический университет,425
у больных ибс с,424
с практической точки зрения,421
тыс до н э,421
в зависимости от пола,420
данные свидетельствуют о том,419
настоящее время установлено что,419
сердечно сосудистых заболеваний в,417
магнитно резонансная томография мрт,416
возрастает неблагоприятный прогноз маркер,416
учитывая тот факт что,413
после выписки из стационара,412
у больных ишемической болезнью,410
при остром инфаркте миокарда,409
и только тогда когда,408
