text,freq
таким образом,60814
настоящее время,57154
т е,31508
российской федерации,29563
точки зрения,20380
т д,20074
представляет собой,19072
мм рт,19016
рт ст,18974
сердечно сосудистых,18937
последние годы,17529
риск развития,17120
возрасте лет,16344
следует отметить,16107
риска развития,15711
первую очередь,15424
головного мозга,14836
левого желудочка,14644
ммоль л,14102
связи этим,13966
сердечно сосудистой,12267
мг сут,11979
сегодняшний день,11829
массы тела,11506
г г,11321
дозе мг,11166
мг кг,10831
р р,10613
наиболее часто,10598
факторов риска,10529
одной стороны,10401
х гг,10359
важную роль,10021
большинстве случаев,9655
высокий уровень,9633
т ч,9402
старше лет,9154
сердечной недостаточности,8869
х годов,8830
нервной системы,8743
качества жизни,8616
т п,8499
последнее время,8485
сыворотке крови,8484
сих пор,8469
инфаркта миокарда,8243
является одним,8222
которые могут,8180
медицинской помощи,8136
клинической практике,8020
мужчин женщин,7981
см например,7871
го типа,7857
клинических исследований,7789
артериального давления,7758
сосудистых заболеваний,7505
больных аг,7305
больных ра,7212
ил ил,7192
качество жизни,7105
результаты исследования,7037
повышение уровня,7006
нашем исследовании,6802
большое количество,6782
средний возраст,6622
окружающей среды,6553
исследования показали,6452
побочных эффектов,6412
это связано,6315
послеоперационном периоде,6279
главным образом,6245
дыхательных путей,6226
молочной железы,6166
см рис,6158
большей степени,6146
мл мин,6003
коронарных артерий,5994
представляют собой,5985
м м,5947
среди пациентов,5921
сахарный диабет,5910
сосудистых осложнений,5891
друг друга,5867
лечения больных,5841
риском развития,5822
соавт соавт,5812
экономического развития,5793
инфаркт миокарда,5780
экономического роста,5751
провоспалительных цитокинов,5720
необходимо отметить,5714
данном случае,5713
течение лет,5701
высоким риском,5694
костной ткани,5683
й й,5664
имеет место,5657
настоящего времени,5651
следующим образом,5632
плазме крови,5603
ключевые слова,5529
фактором риска,5518
материалы методы,5504
высокого риска,5493
кг м,5478
период гг,5457
т клеток,5411
данной работе,5380
данным литературы,5321
цель исследования,5315
сосудистой системы,5241
иммунной системы,5237
больных ибс,5227
нг мл,5196
последних лет,5188
крайней мере,5176
ряде исследований,5167
среди которых,5115
снижение уровня,5112
сахарным диабетом,5096
иммунного ответа,5053
г л,5034
согласно данным,5023
хирургического лечения,5012
результаты исследований,4987
наш взгляд,4976
лекарственных средств,4975
ряде случаев,4973
нашей стране,4966
возраст лет,4962
сд типа,4950
сосудистой стенки,4924
факторы риска,4846
полученные результаты,4837
жирных кислот,4836
болезни сердца,4822
слизистой оболочки,4760
сахарного диабета,4759
больных сд,4751
настоящему времени,4746
той иной,4693
значительной степени,4689
высоким уровнем,4651
настоящей работе,4648
т лимфоцитов,4636
периферической крови,4631
больных хсн,4579
мг л,4566
группе пациентов,4534
лекарственных препаратов,4528
клинических проявлений,4521
н н,4520
результаты обсуждение,4514
артериальной гипертензии,4510
мг дл,4501
функции почек,4449
общей популяции,4380
артериальная гипертензия,4354
ишемической болезни,4328
одним наиболее,4317
интенсивной терапии,4307
имеются данные,4305
является одной,4239
соединительной ткани,4234
среди больных,4226
последние лет,4174
низкий уровень,4160
коленного сустава,4143
пг мл,4140
приводит снижению,4110
жировой ткани,4103
высокий риск,4102
большое значение,4092
течение года,4085
группе больных,4056
развитых странах,4040
мочевого пузыря,4039
сердца ибс,4027
течение мес,4021
сделать вывод,4017
т т,4013
м н,4010
факторами риска,3996
лечения пациентов,3989
некроза опухоли,3984
речь идет,3969
оценки эффективности,3965
высшего образования,3963
оксида азота,3939
всем мире,3919
является наиболее,3917
профессиональной деятельности,3868
н д,3862
желудочно кишечного,3833
опухолевых клеток,3829
больных хобл,3812
тыс населения,3810
пациентов получавших,3807
некоторые авторы,3806
е е,3805
