text_without_tags,freq
в то же время,24562
свидетельствовать о тот что,7632
мочь быть связать с,4771
играть важный роль в,4172
ишемический болезнь сердце ибс,3882
в тот или иной,3145
в начало х год,2666
то же время в,2641
в доза мг сут,2576
в раз выше чем,2372
на мм рт ст,2369
следовать отметить что в,2126
до сей пора не,2031
в доза мг килограмм,1927
мочь быть использовать для,1902
хронический сердечный недостаточность хсн,1787
ада мм рт ст,1625
в конец х год,1601
в исследование быть включить,1580
р р р р,1561
дада мм рт ст,1537
в ранний послеоперационный период,1510
уровень возрастать неблагоприятный прогноз,1453
сахарный диабет го тип,1436
в возраст старший год,1416
играть ключевой роль в,1414
фактор некроз опухоль фно,1397
фракция выброс левый желудочек,1347
в реальный клинический практика,1322
прислать к вывод что,1313
говорить о тот что,1294
мочь быть использовать в,1288
сад мм рт ст,1287
ил ил ил ил,1285
оказывать существенный влияние на,1275
толерантность к физический нагрузка,1259
ткань уровень возрастать неблагоприятный,1235
в режим реальный время,1212
индекс масса тело имт,1210
в многое зависеть от,1205
ме й й перцентиль,1203
автор ответственный за переписка,1178
до тот пора пока,1163
скф мл мина метр,1157
тот или иной степень,1157
после квартал после квартал,1152
в середина х год,1148
дать свидетельствовать о тот,1131
до настоящий время не,1130
что мочь привести к,1125
не выявить ассоциация с,1111
га ткф га ткф,1092
один из наиболее распространить,1075
в раз чаща чем,1057
в подавлять большинство случай,1044
свой очередь приводить к,1037
до мм рт ст,1030
исследование свидетельствовать о тот,1025
до сей пора оставаться,1010
мм рт ст и,1003
га га га га,1000
с избыточный масса тело,996
всемирный организация здравоохранение воз,988
приходить к вывод что,969
раз выше чем в,959
федеральный орган исполнительный власть,946
можно сделать вывод что,932
предположение о тот что,929
раз выше чем у,917
острый нарушение мозговой кровообращение,905
являться тот факт что,900
являться независимый фактор риска,898
ммоль сут год сут,893
исследование быть включить пациент,889
острый коронарный синдром окс,885
хронический обструктивный болезнь лёгкое,879
по крайний мера в,873
необходимый отметить что в,868
и мм рт ст,864
с начало х год,853
на территория российский федерация,834
избыточный масса тело и,831
в отделение интенсивный терапия,826
российский академия народный хозяйство,814
с сд го тип,796
скорость клубочковый фильтрация скф,782
позволять сделать вывод о,771
нестероидный противовоспалительный препарат нпвп,757
играть важный роль в,755
у лицо старший год,755
с нормальный масса тело,750
в больший степень чем,748
хронический болезнь почка хбп,747
с повышенный риск развитие,743
что мочь быть связать,738
тот факт что в,725
ишемический болезнь сердце и,722
далее метр наш профессор,716
доза мг раз в,715
мм рт ст в,714
частота сердечный сокращение чсс,713
это мочь быть связать,712
в основное за счёт,705
то же время при,702
год до наш э,696
в доза мг раз,694
нарушение толерантность к глюкоза,684
эффект перенос обменный курс,684
то же время у,674
федеральный служба государственный статистика,672
один из самый распространить,666
х год прошлое век,659
на протяжение многий год,657
который мочь быть использовать,650
страна доход коэффициент джиня,648
в раз большой чем,636
с середина х год,635
с острый коронарный синдром,633
страна доход население составляющий,624
доход население составляющий е,624
метод наименьший квадрат приниматься,624
га га тетр га,622
говорят о тот что,616
фактор рост эндотелий сосуд,615
не отличаться от таковой,615
минеральный плотность костный ткань,612
указ президент российский федерация,612
автор прислать к вывод,611
следовать также отметить что,607
это обусловить тем что,606
менее мм рт ст,605
перекисный окисление липид половина,600
и тот факт что,596
мм рт ст процент,588
что мочь приводить к,579
который обратный величина гра,576
обратный величина гра сантиметр,576
по данные всемирный организация,575
автор приходить к вывод,574
можно сделать вывод о,574
развитие налоговый система ипэя,570
в каждый конкретный случай,570
система ипэя российский академия,570
начало х год в,565
мочь оказывать влияние на,565
