text_without_tags,freq
настоящее время,57362
том е,32999
российский федерация,31501
возраст год,29720
фактор риска,29630
год год,29519
последний год,28303
быть показать,27544
точка зрение,25518
риск развитие,23414
х год,23219
который быть,22889
исследование быть,22484
результат исследование,21950
высокий уровень,21434
мм рт,21010
рт ст,20986
который мочь,20551
том далее,20227
год быть,20123
масса тело,19525
инфаркт миокард,17961
риска развитие,17817
который являться,17615
головной мозг,17592
клинический исследование,17514
сахарный диабет,17182
качество жизнь,16650
свой очередь,16554
сердечный недостаточность,16353
быть выявить,16321
следовать отметить,16272
доза мг,16016
левый желудочек,15604
период год,14998
ммоль литр,14481
связь это,14302
повышение уровень,13157
наш исследование,12967
важный роль,12933
мг сут,12778
клинический практика,12556
быть получить,12496
сегодняшний день,12213
течение год,12067
артериальный гипертензия,11955
сыворотка кровь,11888
контрольный группа,11886
мужчина женщина,11543
исследование показать,11450
артериальный давление,11400
группа пациент,11354
дать работа,11327
исследование который,11324
мг килограмм,11299
иметь место,11232
получить результат,11230
быть провести,11205
большой количество,11190
побочный эффект,11180
нервный система,11154
наиболее часто,10663
снижение уровень,10655
клинический проявление,10649
лечение больной,10587
экономический рост,10552
медицинский помощь,10512
болезнь сердце,10510
настоящий время,10484
фактор рост,10466
друг друг,10339
большинство случай,10338
окружающий среда,10208
ряд исследование,10016
высокий риск,9991
сердечно-сосудистый заболевание,9897
старший год,9871
группа больной,9822
быть установить,9721
том число,9699
коронарный артерия,9658
р р,9581
база дать,9560
метод лечение,9542
решение задача,9440
последний время,9434
материал метод,9386
ишемический болезнь,9339
сантиметр например,9214
быть обнаружить,9108
низкий уровень,9095
исследование провести,8781
это случай,8738
оценка эффективность,8736
возрастной группа,8707
мутация ген,8678
быть отметить,8630
том плата,8623
послеоперационный период,8585
хирургический лечение,8583
работа быть,8578
го тип,8550
метод исследование,8549
сей пора,8522
е год,8429
частота развитие,8399
развитый страна,8310
мочь привести,8309
пациент который,8303
последний десятилетие,8291
слизистый оболочка,8271
иммунный ответ,8244
больной ра,8201
больной ага,8153
дыхательный путь,8141
весь пациент,8130
лечение пациент,8103
лекарственный препарат,8083
настоящий работа,7959
лекарственный средство,7918
являться наиболее,7895
физический нагрузка,7796
продолжительность жизнь,7764
получить дать,7683
являться важный,7658
плазма кровь,7644
высокий частота,7550
провести исследование,7482
снижение риска,7393
цель исследование,7368
ил ил,7354
экспрессия ген,7283
метр метр,7092
средний возраст,7088
статистически значимый,7071
пациент получать,7051
ряд автор,7043
иммунный система,7016
болевой синдром,6958
высокий риска,6859
наш страна,6834
жирный кислота,6794
настоящий исследование,6776
принятие решение,6756
летальный исход,6621
эффективность безопасность,6620
также быть,6558
быть использовать,6555
коленный сустав,6530
экспериментальный исследование,6520
быть разработать,6514
опухолевый клетка,6505
функция почка,6466
повышенный уровень,6465
мочь приводить,6459
сантиметр рис,6459
клинический картина,6440
наиболее распространить,6422
ранний стадия,6414
костный ткань,6411
почечный недостаточность,6406
согласно который,6404
мочь служить,6399
дать исследование,6360
молочный железа,6339
высокий образование,6319
нарушение функция,6307
сосудистый стенка,6305
больший степень,6300
главное образ,6290
мочь использовать,6280
хирургический вмешательство,6260
следующий образ,6254
воспалительный процесс,6249
патологический процесс,6234
образ жизнь,6217
результат лечение,6205
дать случай,6204
оперативный вмешательство,6199
соавт соавт,6173
мл мина,6169
средний значение,6158
рандомизировать исследование,6157
килограмм метр,6131
обменный курс,6116
темп рост,6110
исследование пациент,6110
человеческий капитал,6068
наиболее частый,6066
работа который,6050
ключевой слово,6017
й й,6010
механизм действие,6009
среди пациент,6007
высокий степень,5972
быть продемонстрировать,5943
также мочь,5938
быть предложить,5829
й группа,5824
широкий спектр,5785
мочь иметь,5783
общий число,5781
больной ибс,5768
быть включить,5766
который иметь,5760
исследование показать,5759
некоторый автор,5758
необходимый отметить,5738
провоспалительный цитокин,5729
сердечно-сосудистый система,5719
весь случай,5694
мочь связать,5672
оксид азот,5672
год литр,5651
повышение эффективность,5644
являться основный,5608
уровень ада,5550
степень тяжесть,5542
артериальный гипертония,5535
весь мир,5491
быть выше,5464
